,tweet,hashtags,ref_user,urls,label
8575,vin nourriture bonnes personnes amusent aujourd hui 19h delidelux,,,,0.0
9175,heure black out complet twitter mac vie quelle importance patéité effet soleil là fiable,,,,0.0
11810,merci beaucoup ange probablement trop sévère essaie toujours être supermembre hey aimez aussi,,,,0.0
7173,attire extrême sofie tellement magnifique,,,,0.0
9201,destin parlez ya plus tard milady lt 3,,,,0.0
5326,e seulement lorsque douleur suffit humeur faire,,,,0.0
1230,meilleur discrit discrit renois,,,,1.0
13032,yeahh bébé,,,,0.0
11879,sais sais ralenti mises jour twitter difficile proxénète lmao préparer prêt garderie,,,,0.0
4237,devenus professionnels octobre 2008 tout simplement mis jour aucun sites web ni rien avant hier,,,,0.0
2164,journaliste extrême droite discourt incapable citer moind,charlottedornellas migrants,url,,1.0
10029,haha surtout quand a beaucoup fromage,,,,0.0
8984,grandes photos écosse sauf gris misérable,,,,0.0
13409,hmmm mère bien thanni thelichu vettutaanga,,,,0.0
13689,20 millions chaos emballage 100 mouvement attendant venir bientôt visiter quelque temps contact,,,,0.0
11048,viens terminer alimentation petit déjeuner kayden alors maintenant détendons regardons shrek,,,,0.0
10852,melbourne a rien sydney dis venir ici,,,,0.0
11616,tellement désolé grogné mangé quelque chose rend particulièrement flatulant poisson frites lol,,,,0.0
13424,approuvés voyager palo alto semaine sève intérieur route 2009 voir tous là,,,,0.0
4976,déjà fait,,,,0.0
6062,hey dougie a pensé meilleur demander quels noms lézards pourrais avoir voulais yoda,,,,0.0
12969,vais jeu soir bon aller temps 19,,,,0.0
13510,bb howdy to our peeps in gresham cours studio train interrompre dactylographie,,,,0.0
6506,tellement anxieux jeudi hâte voir mike a 3 mois demi,,,,0.0
12417,merci compte rendu vraiment heureux blogging twittering si utiles clients,,,,0.0
6840,saviez journal néerlandais autre jour,,,,0.0
12549,love ya giuliana regarde e allllllllll temps chaque fois rentre travail regarde e nouvelles,,,,0.0
4974,veut suiviez suit twitter quelques très belles organisations,,,,0.0
386,si ni droite ni gauche situes certainement extreme droite prefere etre gauchiste,,user,,0.0
1035,tte façon meufs attarde physique besoin allée gériatrie voir couples prend,,url,,1.0
6628,matinnull,,,,0.0
7117,départ centre commercial iluma maintenant,,,,0.0
8775,arrivé bon endroit possède entreprise intérieurs bureau quelle taille aimeriez bureau,,,,0.0
5430,a twitter francophones peut être devrais tweet plus francais,,,,0.0
4818,content puisse faire part 1 185k vaut si souhaitez aider conquérir twitter reconnaissant,,,,0.0
6012,sens tellement génial commencer twitter suzanne presque personne a fait,,,,0.0
669,wllh vidéo fume dirait vraiment attardé pire ça représente bien fdp,,user,,0.0
10692,grandir jardin trop parler salmonelle nouvelles aujourd hui déprimant maintenant maintenant travail,,,,0.0
11678,pense nouvelle lune doit sortir déjà,,,,0.0
13781,cool être dinosaure rawwwwr,,,,0.0
4203,aussi douleurs dos cou terribles obtenez bonne chaise cela aidera attends swopper arriver,,,,0.0
11508,emballage colis tasses o tea soleil brille quelle journée merveilleuse actualiser blogs krafty plus tard x,,,,0.0
9263,sans voix,,,,0.0
5030,irl beaucoup plus convivial avis,,,,0.0
12510,étonnant tir couch puisse faire élever humeurs bureau,,,,0.0
2159,twitter devenu lieu haine violence,,,,1.0
13171,beaucoup discussions bibliothèque contenu piste cloud ventes mérite être regardé,,,,0.0
9314,bon veux donner sympathie conseils juste bâtard méchante,,,,0.0
1534,allemande rompt spirale silence propos politiques édia,terrorisme intellectuel m,url,,1.0
11215,allez librement adore juste quot marque,,,,0.0
2680,slt lyon apparement jeunes migrants montée croix rousse vont faire expulser ici demain si,,url,,1.0
