,tweet,hashtags,ref_user,urls,label
0,call sis im boy girl still faggot shut,,,,1.0
1,legit nilas retarded idk,,user user,,0.0
2,said retard,,url,,0.0
3,america another 8 years obamas ideology via hillary wed well way shithole country,,,,1.0
4,fucking made cry twat,,user,,0.0
5,one wants 2 negro swan,,,,1.0
6,hahaha one trumps shithole countries,,user user user,,1.0
7,u juul ur faggot,,,,0.0
8,even called country shithole people shithole people sad,,user user,,1.0
9,canadians never met seen associated person currently labelled retarded plan,,url,,0.0
10,south africa years come keep supporting loud mouth poli,,user user url,,1.0
11,im oprah winfrey oprah singing faggot,,user,,0.0
12,hahaha grow faggot,,url,,0.0
13,michael live one shithole countries tell caravan respective,,user url,,1.0
14,saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,,,,0.0
15,dope new gospel lighter flick soul beat win fire already keep mind im negro open min,,url,,1.0
16,queue fucking retarded makes everyone feel like even chance make fcfs fucksake,,user,,0.0
17,mexican spic dora,,user,,1.0
18,shorty called faggot cause respond lmfaoooo,,,,0.0
19,ok maybe send finished,,user,,0.0
20,cunt embarrassment club,,user,,0.0
21,wow watching documentary evidence sexual assault cases wonder rapists believe whatev,,url,,0.0
22,que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,,user,,1.0
23,dude im tired retarded,,,,0.0
24,mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,,,,1.0
25,also believes slaves immigrants hes fool disgrace injustices done gop white peop,,url,,1.0
26,pretty sure employee philip green called balding racist sexist twat would perceived dismi,,url,,0.0
27,3 people shot armed police officers dumb twat,,url,,0.0
28,would honduras guatemala quality shithole countries,,user,,1.0
29,btw allowed say shithole countries also allowed say wes,,user user url,,1.0
30,yepnnplus spic amp span waxed amp buffed fitting suspects dishevelled profile new posters faded th,,url,,1.0
31,trump voice nmy friend chinaman longer us,chanded,user user,,1.0
32,bitch retarded hate,,url,,0.0
33,migrants 7z,,user,,1.0
34,hetero guy faggot bet wanna suck dick nnme,,url,,0.0
35,fallait pad arriver en retard,,user,,0.0
36,using word retard form great way make lose huge amount respect,,,,0.0
37,everyone knows feminazis r lying gd teeth,,user user user url,,0.0
38,care moral voters want liberals illegal aliens ms13,,user,,0.0
39,still bitter cunt much interest arsenal player player fod us get sold,,user,,0.0
40,1 box pencil mongol 2 pencil case na may blessing ng holy water quiapo st jude,,,,0.0
41,losely quote trump trumpers dont need immigrants vietnam country,,user user url,,1.0
42,second grade called dirty jew another second grade girl made sense,,user user url,,1.0
43,shut raghead,,user,,1.0
44,whats spic,,user,,1.0
45,think women might retarded bro like possesses yall say shit yall say,,,,0.0
46,children 52 refugees,,,,1.0
47,msnbc identified terrorist organization leftist media well,,user user,,0.0
48,doesnt right negro default,,,,1.0
49,wtf gym king phone little twat,,user,,1.0
50,absolute mongoloid gtfo lmaooo,,url,,0.0
51,retarded okay perfect,,,,0.0
52,coincidentally timed caravan love coming shithole countries pretty sure unrelated,,user user,,1.0
53,fucking hate sonic drops coins valuable little cunt slow,,,,0.0
54,mean platonic dyke way,,user url,,0.0
55,haiti listed second worse place travel shithole talking,,user url,,1.0
56,dyke nation,,url,,0.0
57,put mic retard,,user,,0.0
58,okay forgive u u spic,,url,,1.0
59,many mdszs classical golden scenes cut stupid retarded shitty idea going,,url,,0.0
60,parar anorexic mongol,,,,0.0
61,parody one thing twat funny,,user user,,0.0
62,swear white people fucking retarded,,user,,0.0
63,never called kike dirty jew began campaign hateful rhetoric ha,,user url,,0.0
64,called faggot stole wall burger king bathroom,,user,,1.0
65,go back shithole country grab pussy,,user user,,1.0
66,look retarded,,user,,0.0
67,wish could around see one shithole countries rule world one day better yet trump still around,,,,1.0
68,thats retarded thing ever seen twitter,,user user,,0.0
69,fucking fat anorexic gay homophobic mexican nigger retard pig,,user,,1.0
70,maybe im retarded,,,,0.0
71,migraction 59 en faveur des migrants de calais via,,url user,,1.0
72,twat,,url,,0.0
73,nigga didnt realize fox news negro thought talking shit white women would ok,,url,,1.0
74,reread shit illiterate twat,,user,,0.0
75,ching ching chong,,user,,1.0
76,fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h,,user user url,,1.0
77,helped bring alc ae pi party faggot trying kick ive less min fa,,url,,0.0
78,games c9 surrender look svenskaren go full retard game 2,,,,0.0
79,stop pleasin strangersninstead famly twat,,,,0.0
80,okay giving benefits illegal aliens ary okay working illegally ar,,user url,,1.0
81,mongoloid literally said wrong place 15 times,,url,,1.0
82,everyone calls mongy jess hate,,,,0.0
83,fuck mongy bin dipper,,user,,0.0
84,id assume nonce like say retard harsh,,user,,0.0
85,everything better cunt alive,,,,0.0
86,could given shithole countries money,,user user,,1.0
87,cunt wants grab generation scruff neck getting fucking stupid,,url,,0.0
88,need tell im twat right,,user,,0.0
89,twat,,user,,0.0
90,unaccounted illegal aliens happy tufail one,,user,,1.0
91,opposed using word retard retarded would think ok use word libtard,,,,0.0
92,living real white got soul still spic,,,,1.0
93,economic asylum thing neither country shithole asylum nnhow,,user user url,,1.0
94,retarded toxic femininity,,url,,0.0
95,rather clear thinknnhed rather chinaman would different reason,,user,,1.0
96,baby knows potus,mongoloid,,,0.0
97,man leave one week first twat nut,,,,0.0
98,america shithole country los angeles good,,user,,1.0
99,sigh said spic,,user,,1.0
100,nigger,,user,,1.0
101,scomo biggest faggot madden historyhe bashes everyone anything madden,,url,,0.0
102,gimme break gimme break break piece fat retard,,url,,0.0
103,think retard tbh success twitters made automatically post discord many use,,user url,,0.0
104,everything enraging smug little twat,,user,,0.0
105,smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly,,url,,1.0
106,trump hate jews lmfao ya niggas full retard know work right,,user user url,,0.0
107,buy regularly alternatives,,user user user user user user url,,0.0
108,honduras guatemala would considered shithole countries well,,user user,,1.0
109,fuck faggot,,user,,0.0
110,look leftist terrorist like guy shot softball game compar,,user url,,0.0
111,dawg rondo fucking retarded,,,,1.0
112,2018 yall dont know calling asians ching chong racist,,,,1.0
113,early gab awesome maga sad see whole thing wither die one giant retard moshpit cringe,,user,,0.0
114,get theyre dead communist literally retard mode,,,,0.0
115,hmm okay case take care twat,,user,,0.0
116,retard twitter account looks like,,user user user,,0.0
117,behave yurself today match day stop twat,,user,,1.0
118,sounds fucking retarded idiots seriously get kick shit jesus,,,,0.0
119,horrible cunt,,url,,0.0
120,welcome twitter club known reported far left retarded cry baby,,user url,,0.0
121,leave nnoh yeah shithole country overran,shitholecountry,url,,1.0
122,retarded,,user user user,,0.0
123,mongy american probably,,user user,,1.0
124,cunt progress bint tpa talking one rule oneone another near fucking choked coffee,,,,0.0
125,dont take allegations seriously thats feminazi brainwashing see context everything,,user user,,0.0
126,literally mudslinging retard,,user,,0.0
127,true ur ching chong 1 8 xd,,url,,1.0
128,damn right mfs retarded,,url,,0.0
129,think pittsburgh synagogue shooting hate related retarded,,,,0.0
130,reclaim retard dont get mad,,,,0.0
131,cant tell bonnie actually retarded shes pretending,,user user,,0.0
132,fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb,,user url,,1.0
133,retard explained isnt drama,,user user,,0.0
134,1 1024th middle eastern leftist theyd calling largest terrorist attempt since 9 11 nnbut,,url,,1.0
135,6 28 2018 four illegal aliens accused kidnapping raping two teenage sisters 13 1,,user url,,1.0
136,cum eye ball faggot dickhead fucking cunt slut cakes,,,,0.0
137,matter hard try always retarded math,,,,0.0
138,ching chong style,,user,,1.0
139,full grown man fancy dress halloween wank stain certified twat,,,,0.0
140,look relatives asia mongoloid many fair haired blue,,user url,,1.0
141,kyo retard nlike fuck,,,,0.0
142,shithole country yeah part usn3 killers,florida,user user user url,,1.0
143,come serve faggots messages open looking new faggot fill space wallet,findom,url,,1.0
144,sheck wes nigger,,,,1.0
145,thanks spic,,user,,1.0
146,swear boyfriend partially retarded times,,,,0.0
147,im making buttered noodles u retard,,user,,0.0
148,proper cunt blokes likely lost friend colleague fuckers already diving absolute,,url,,0.0
149,would break heart america advanced ins many ways conversely retarded w,,user user url,,0.0
150,meanies call mongol sayni child genghis khan child orangutan,,,,1.0
151,faggot looks like walking hiv,,url,,0.0
152,getting illegal aliens stay home fear good first step next hope move onto self deporting,,url,,1.0
153,cunt would walking away,,url,,0.0
154,fuck u spic,,user,,1.0
155,trannys retarded asshole,,url,,0.0
156,ima real try talk 20000 screaming mentally retarded adults cant even form,,user user url,,0.0
157,keep mind im negro open mind got screen door best bar whole fuckin album lol,,,,1.0
158,wayne collab decaying negro,,,,1.0
159,lol ok sure cunt,,user,,0.0
160,enough enough cancel scheduled testimony lying feminazi ford needs,,user url,,0.0
161,whole okay white thing created expose hate white people inclu,,url,,1.0
162,ima let negro bc really got fucked amp know better,,,,1.0
163,crude leftist podcast uses word retard lot fan base made angr,,user url,,0.0
164,retard,,url,,1.0
165,lagged yo chill faggot fucking hell lol killing,,,,0.0
166,yes retarded leader paper tiger,,user,,0.0
167,selling dvds hahahaha shop gonna hate woman counter mongy cunt anyway deser,,url,,0.0
168,im done dealing little bitches grow fucking pair cunt,,,,0.0
169,well maybe im faggot america nim part redneck agendannow everybody propagandanand sing along age paranoia,,,,1.0
170,u see colonialism right id blast writing vmin getting lost mongol shobhajatra ppl w,,url,,0.0
171,got head like dyke got head like,,url,,0.0
172,literally feel retarded anytime use left hand looking kinda stupid,,,,0.0
173,hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server,,user url,,1.0
174,hypocrisy retard anyways hows johghyun,,user user user,,0.0
175,cmon machado fucking mongoloid,,,,0.0
176,chinaman issue,,user,,1.0
177,rastice bitch add fagot sucks cock dam day night fucking faggot,,user,,1.0
178,15 mins netflix amp chill called faggot,,,,0.0
179,happens anel retarded,,user user,,0.0
180,waste graceful white filthy refugees,,user user,,1.0
181,lmfao shut cunt unfollow,,user,,0.0
182,ching chong,,user,,1.0
183,brazil go vote use finger print id 3rd world shithole wh,,user url,,1.0
184,photographer humana 4,portrait rio_negro argentina strkng photography contemporary bestof,url,,0.0
185,ring chong ching ching chong chong ching,,,,1.0
186,golden visas wealthy immigrants abuse quebecs immigration pro via,,url user,,1.0
187,eu ching chongs arent real ching chong,,user user,,1.0
188,oooft ya cunt cant belive still photo haha x,,user user user,,0.0
189,faggot people self hatred much king,,url,,0.0
190,skele boi far superior toothy mongoloid,,user,,1.0
191,feminazi detected,,user,,0.0
192,many dead illegal aliens vote blue november dems arent worried,,user,,1.0
193,okay white,,,,1.0
194,u dad fucking retard,,user,,0.0
195,goat beach way retard,,user,,0.0
196,florida shithole armpit united states gulf,,user user user url,,1.0
197,whatever retard,,user,,0.0
198,rrrrrrly dont care im cunt,,,,0.0
199,gt people truly matter even one retarded hold much importancennthey,,url,,0.0
200,feel retarded cant,,,,0.0
201,yeap spic wet,,user user,,1.0
202,outrageous outrageous youre going illegal aliens thats wh,,user user url,,1.0
203,text back faggot,,user,,0.0
204,rats feminazi abortion devils came trolling carloads cash despicable,,url,,0.0
205,baby daddy retarded bitch,,,,0.0
206,fair nigger,,user,,1.0
207,really want turn country shithole going happen,,user,,0.0
208,fucking hate lanky ginger cunt joseph brady,,,,0.0
209,slogan unbelievably stupid every offenses goal damage gives mongoloid boston f,dodamage,url,,0.0
210,im gay im faggot shut fuck,,,,0.0
211,retard tranny spic show good,,user,,0.0
212,im racist touched tan dick sure race though kinda spic,,,,1.0
213,woman tool make feel unsafe hows retard,,user user user,,0.0
214,called shithole countries trump,,user,,0.0
215,hellbent ching chong communists want oppress anyone,,user user url,,1.0
216,dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian chinamen crimi,,user url,,1.0
217,barns heard discussing lecherous twat mistook leftist plot nneasily done,,user,,0.0
218,mr drabu snobby twat,,url,,0.0
219,california candidate governor promises free health care illegal immigrants latest push financial,,url,,1.0
220,shithole countries ring bell good genes birtherism fine people sides,,user user,,1.0
221,fast forward section unfunny twat,,user user,,0.0
222,grandma called faggot today thats new low,,,,0.0
223,imagine living shithole country since birth yet stick peak american politics,,,,1.0
224,shut nigger,,url,,1.0
225,think communists despise white people capitalism went full retard less okay,,url,,0.0
226,volkan looking like retarded cousin brian ortega,ufcmoncton,,,0.0
