,tweet,hashtags,ref_user,urls,label
0,rt personnage ainsi q tte clique gauchiste deguise 1 macronistes ttes ls qualites requises etaient inculq,,user,,1.0
1,bah oui raison autre mongol,,user user user,,0.0
2,personne adresser réclamer voisin attardé puant bruyant administrat,,url,,0.0
3,vrai anchois aller lune invente million technologie,,user user,,0.0
4,eh renois faut réveiller,,url,,1.0
5,algerie migrants expulsés désert crois bien autre vision,,user user url,,1.0
6,sjw féministe twitter sale combo,,user,,0.0
7,sais aussi pourquoi dessus parce si veut demain bah ya plus ani,,user user url,,0.0
8,mytho juste voulu faire ken renois lycée voulu to,,user user url,,0.0
9,giga attardé mdrrr va vraiment faire shoote,,url,,1.0
10,4 réfugiés arabes lardent coups couteau ado allemande enceinte 5 mois cru p,duisburg,url,,1.0
11,dekoi parle jte dis ps honte dire half black lieu half pakpak attardé,,user,,1.0
12,aussi luttons contre colonialisme occurrence colonisation peuplement africaine arabo mu,,url,,1.0
13,alors tous vraiment attardé,,user user user,,0.0
14,sale arabe arrête hontes,,user,,1.0
15,sale juif mis avant contrairement autres mdr,lejouroujaibrulemoncoeur,,,1.0
16,ohhh violence meuuurs,,user,,0.0
17,vu cette simple declaration difficile savoir si affaire neo nazi gauchiste islamiste,,url,,1.0
18,offense terrorisme voir dirigeants font rien quant montée,,user url,,1.0
19,glik gros mongol,,,,1.0
20,quel mongol donner salaires monstrueux moindre joueur merde vient,,user,,0.0
21,arrete enerver crédible dirait gros con gamin attardé voi,,user user user url,,0.0
22,irl gauchiste bobo anti raciste quand lis part leurs provocations i,,user user url,,1.0
23,a vu gl dirait attardé,,user,,0.0
24,forum islam nom lutte contre séparatisme terrorisme etat chinois entreprend désislamisati,,url,,1.0
25,donne toujours sale boulot arabe service énergumènes sentent intégrés,,user user user,,1.0
26,renois premiers tailler rebeus quand tacle rigoler sorten,,user url,,1.0
27,crois intelligent réflexion facebook attardé,,user,,0.0
28,rt con gauchiste quand meme,,user url,,1.0
29,shoutout daronnes rebeus leurs fils adorés,,url,,1.0
30,empire mongol,,user user,,0.0
31,contres pma tout monde contre avortement el,,user user user url,,0.0
32,contre avortement,,user,,0.0
33,bordel a sale arabe algerien insulte mère pute parce supprimé snap après,,url,,1.0
34,violence contre ivg homosexuels mariage tous largement cobdamnabl,,user user url,,0.0
35,autant plus bizarre flavius josèphe resté juif jusqu bout ongles,,user user user,,1.0
36,quand sors chez coiffeur vraiment plus beau tous rebeus,,,,1.0
37,vraie violence force,,user user user user user user user url,,0.0
38,putain respecte chat moins fait mongol attirer attention,,url,,1.0
39,peut attendre lendemains difficiles royaume uni si jeremy islamo gauchiste pir,corbyn,url,,0.0
40,surtout attardé,,user,,0.0
41,oui comprends pourquoi ceux veulent accueillir migrants prennent,,user user url,,1.0
42,essaie bien comprendre maintenant sais quand dit antisioniste,,user user url,,0.0
43,quand dit commission monstre anti démocratique non élu traite débile vi,,user url,,0.0
44,dames arabes toujours plaindre,,url,,1.0
45,état civil chez renois option aussi,,user user,,1.0
46,halim95 lieu hurler comme attardé mental ouvrez yeux parole,,user user user url,,0.0
47,dirait gauchiste chouine source,,user,,0.0
48,jms dit contraire sale arabe juste comme si pr annif paie ps4 red dead,,user,,1.0
49,jvois vla renois comment parle blanc vnr sors raciste dis très sereinement,,url,,1.0
50,rejetez machisme blanc machisme africain,,,,1.0
51,doudoune ugg vraiment renois abusent,jaimelestylehivermaispaslefroid jsuisunevraigwada,,,1.0
52,mongol face bourdin,,url,,1.0
53,demande politiques français gérer migrants quid dirigeants africains occupés,cedricherrou,url,,1.0
54,coincé berlin entre manifestation extrême droite contre avortement autre gauchistes,,url,,1.0
55,liebig comme tout bon gauchiste attise racisme anti blanc anti français,,user user,,1.0
56,évidemment capable envoyer lien pauvre attardé random congénital maintenant,,user user url,,0.0
57,ramène maladie jérusalem,,user,,1.0
58,moitié renois ici seum contre arabes bon jtweet renois 1 fois attaque trop,,user,,1.0
59,non laisse gros mongol va tweeter complot uefa pro catalan 5min,,user user user,,0.0
60,vidéo voici comment migrants africains vivent pire,france afrique,url,,1.0
61,décidément importe quel attardé peut jours détenir carte professionnelle revoyez con,,user url,,1.0
62,mathilde normal bien tète intello attardé doux baisers,,user,,0.0
63,mr simon pouvez justifier voir atténuer violence propos mr zemmou,,user user user url,,0.0
64,être 4 renois 206 musique fond vapotes gogo oublier papiers voiture,,,,1.0
